,index,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,brand
3443,7096,Mondeo,2015,8450,Manual,70068,Diesel,30.0,64.2,2.0,Ford
3444,13934,Fiesta,2019,12000,Manual,14063,Petrol,145.0,60.1,1.0,Ford
3445,5197,Focus,2017,17750,Manual,5597,Petrol,145.0,41.5,2.0,Ford
3446,16972,Fiesta,2007,2795,Manual,63000,Petrol,145.0,47.1,1.2,Ford
3447,7746,Kuga,2017,16497,Manual,12945,Diesel,145.0,54.3,2.0,Ford
3448,4147,Fiesta,2016,10498,Manual,22517,Petrol,0.0,65.7,1.0,Ford
3449,17775,Fiesta,2017,12000,Automatic,7556,Petrol,0.0,57.7,1.0,Ford
3450,7557,Fiesta,2019,12920,Manual,4520,Petrol,145.0,48.7,1.1,Ford
3451,10207,Fiesta,2014,6491,Manual,36677,Petrol,30.0,54.3,1.2,Ford
3452,20366,Focus,2019,15799,Manual,7462,Petrol,,,1.0,Ford
3453,15262,Grand C-MAX,2017,10900,Manual,41000,Petrol,30.0,54.3,1.0,Ford
3454,2228,Kuga,2018,15790,Manual,7721,Diesel,150.0,54.3,1.5,Ford
3455,18469,Focus,2020,18991,Manual,905,Petrol,,,1.0,Ford
3456,17500,Kuga,2017,12500,Manual,24401,Diesel,30.0,64.2,1.5,Ford
3457,13876,C-MAX,2014,6499,Automatic,52000,Diesel,155.0,50.4,2.0,Ford
3458,15521,Fiesta,2017,10500,Manual,15244,Petrol,145.0,65.7,1.0,Ford
3459,12152,Focus,2015,8000,Semi-Auto,48895,Petrol,165.0,44.8,1.6,Ford
3460,9780,C-MAX,2016,9000,Automatic,41344,Diesel,20.0,64.2,1.5,Ford
3461,19073,Focus,2017,11498,Manual,35491,Diesel,,,1.5,Ford
3462,18939,Focus,2015,8000,Manual,40253,Petrol,,,1.0,Ford
3463,8655,Fiesta,2014,6490,Manual,29607,Petrol,30.0,54.3,1.2,Ford
3464,19592,Focus,2020,20390,Automatic,5750,Diesel,,,1.5,Ford
3465,16953,Focus,2016,9595,Manual,40000,Diesel,0.0,74.3,1.5,Ford
3466,15139,EcoSport,2016,8400,Manual,36701,Petrol,125.0,53.3,1.0,Ford
3467,5924,Fiesta,2017,9241,Manual,33372,Diesel,150.0,85.6,1.5,Ford
3468,22079,Focus,2017,11797,Manual,12255,Petrol,,,1.0,Ford
3469,3330,Focus,2019,18991,Automatic,2986,Petrol,145.0,51.4,1.0,Ford
3470,18023,Focus,2018,12300,Manual,29568,Diesel,,,1.5,Ford
3471,16934,C-MAX,2014,7000,Manual,33159,Diesel,30.0,61.4,1.6,Ford
3472,17288,Grand C-MAX,2014,7490,Manual,70000,Diesel,125.0,57.7,1.6,Ford
3473,3149,Fiesta,2019,10498,Manual,20636,Petrol,150.0,55.4,1.1,Ford
3474,1567,Fiesta,2018,9395,Manual,19000,Petrol,150.0,64.2,1.1,Ford
3475,5601,Fiesta,2017,10447,Manual,10584,Petrol,145.0,62.8,1.0,Ford
3476,13675,Ka+,2017,7500,Manual,40150,Petrol,145.0,57.7,1.2,Ford
3477,21124,Focus,2015,9295,Manual,20578,Petrol,,,1.0,Ford
3478,2462,Focus,2019,15798,Manual,11614,Petrol,145.0,60.1,1.0,Ford
3479,12397,Fiesta,2019,12500,Manual,7983,Petrol,145.0,58.9,1.0,Ford
3480,3985,Fiesta,2018,11500,Manual,36775,Petrol,145.0,65.7,1.0,Ford
3481,4835,Mondeo,2016,11998,Semi-Auto,37154,Diesel,125.0,58.9,2.0,Ford
3482,4636,Fiesta,2018,9897,Manual,13647,Petrol,145.0,64.2,1.1,Ford
3483,19156,Focus,2019,16997,Manual,6837,Petrol,,,1.0,Ford
3484,17330,Fiesta,2015,7495,Manual,24000,Petrol,145.0,47.9,1.6,Ford
3485,15322,Focus,2017,13000,Manual,15362,Diesel,150.0,74.3,1.5,Ford
3486,2410,Tourneo Custom,2015,15998,Manual,30324,Diesel,235.0,43.5,2.2,Ford
3487,18599,Focus,2017,12498,Manual,12705,Petrol,,,1.0,Ford
3488,20576,Focus,2018,12800,Manual,6945,Petrol,,,1.0,Ford
3489,15176,Fiesta,2018,10795,Manual,41008,Petrol,145.0,56.5,1.0,Ford
3490,9538,Fiesta,2019,15200,Manual,6603,Petrol,150.0,58.9,1.0,Ford
3491,1826,Focus,2019,27995,Manual,7725,Petrol,145.0,34.5,2.3,Ford
3492,6706,Fiesta,2016,9210,Manual,19703,Petrol,0.0,65.7,1.0,Ford
3493,2918,Focus,2019,18600,Automatic,10855,Diesel,145.0,74.3,1.5,Ford
3494,10216,Kuga,2017,18491,Automatic,24801,Diesel,145.0,54.3,2.0,Ford
3495,22209,Focus,2017,19000,Manual,8938,Petrol,,,2.0,Ford
3496,4196,Fiesta,2014,8750,Manual,35315,Petrol,0.0,65.7,1.0,Ford
3497,8734,Fiesta,2017,9200,Manual,45500,Diesel,150.0,85.6,1.5,Ford
3498,13750,Focus,2014,7495,Manual,28100,Petrol,30.0,56.5,1.0,Ford
3499,7107,Fiesta,2017,9495,Manual,39344,Petrol,145.0,62.8,1.0,Ford
3500,10129,Fiesta,2018,11795,Manual,10872,Petrol,150.0,65.7,1.0,Ford
3501,140,C-MAX,2017,12995,Manual,7817,Petrol,145.0,55.4,1.0,Ford
3502,2534,Grand Tourneo Connect,2017,14998,Automatic,18209,Diesel,145.0,56.6,1.5,Ford
3503,9966,Fiesta,2019,15695,Manual,5903,Petrol,150.0,55.4,1.0,Ford
3504,20738,Focus,2018,12995,Manual,14233,Petrol,,,1.0,Ford
3505,18780,Focus,2017,13298,Automatic,12912,Petrol,,,1.5,Ford
3506,17527,Fiesta,2016,8499,Manual,29000,Petrol,125.0,54.3,1.2,Ford
3507,17562,Fiesta,2014,6000,Manual,42066,Petrol,30.0,54.3,1.2,Ford
3508,5248,Focus,2015,7380,Manual,50360,Diesel,0.0,74.3,1.5,Ford
3509,21893,Focus,2013,6500,Manual,57029,Petrol,,,1.0,Ford
3510,2682,EcoSport,2016,10000,Manual,40200,Petrol,125.0,52.3,1.0,Ford
3511,3042,Ka+,2017,7440,Manual,5380,Petrol,145.0,57.7,1.2,Ford
3512,10887,Mondeo,2018,13999,Semi-Auto,30320,Diesel,145.0,45.6,2.0,Ford
3513,15253,B-MAX,2017,7389,Semi-Auto,60420,Petrol,160.0,44.1,1.6,Ford
3514,10863,Focus,2018,16995,Automatic,10688,Diesel,145.0,74.3,1.5,Ford
3515,13167,Fiesta,2017,12000,Manual,20798,Petrol,150.0,47.9,1.6,Ford
3516,102,Kuga,2017,13498,Manual,26597,Diesel,145.0,54.3,2.0,Ford
3517,17217,Fiesta,2017,9295,Manual,14824,Petrol,0.0,65.7,1.0,Ford
3518,8198,Focus,2017,11220,Manual,24000,Petrol,150.0,58.9,1.0,Ford
3519,4753,Kuga,2015,13660,Semi-Auto,49711,Diesel,145.0,52.3,2.0,Ford
3520,11833,Fiesta,2019,16399,Semi-Auto,7408,Petrol,145.0,48.7,1.0,Ford
3521,7408,Fiesta,2017,8995,Manual,24282,Petrol,0.0,65.7,1.0,Ford
3522,22502,Focus,2017,11699,Manual,13211,Petrol,,,1.0,Ford
3523,15196,Fiesta,2016,7489,Manual,33000,Petrol,125.0,54.3,1.2,Ford
3524,585,Grand C-MAX,2019,14950,Manual,9693,Diesel,145.0,57.7,1.5,Ford
3525,16455,Fiesta,2017,7667,Manual,11050,Petrol,145.0,65.7,1.0,Ford
3526,12168,Focus,2018,13990,Manual,16500,Petrol,145.0,58.9,1.0,Ford
3527,4728,Ka+,2018,7800,Manual,7285,Petrol,145.0,57.7,1.2,Ford
3528,6568,Kuga,2018,17995,Manual,4034,Petrol,145.0,39.2,1.5,Ford
3529,21232,Focus,2018,13000,Semi-Auto,14119,Petrol,,,1.0,Ford
3530,22224,Focus,2018,13000,Manual,24716,Diesel,,,1.5,Ford
3531,14871,Focus,2012,4499,Manual,72279,Petrol,145.0,47.9,1.6,Ford
3532,13196,Fiesta,2018,11450,Manual,25117,Petrol,145.0,65.7,1.0,Ford
3533,23177,Focus,2015,9995,Manual,22000,Petrol,,,1.0,Ford
3534,15017,Kuga,2019,21799,Automatic,6083,Diesel,150.0,37.2,2.0,Ford
3535,22466,Focus,2016,15799,Manual,19750,Petrol,,,2.0,Ford
3536,6083,Fiesta,2016,9850,Manual,23822,Petrol,20.0,62.8,1.0,Ford
3537,14660,Grand C-MAX,2018,13999,Automatic,9377,Diesel,145.0,51.4,1.5,Ford
3538,21127,Focus,2019,15890,Manual,13773,Petrol,,,1.0,Ford
3539,16987,Fusion,2008,1895,Manual,105000,Petrol,200.0,42.8,1.6,Ford
3540,12853,Fiesta,2019,18500,Manual,6020,Petrol,150.0,55.4,1.0,Ford
3541,14242,Fiesta,2015,7812,Manual,46995,Petrol,20.0,62.8,1.0,Ford
3542,12392,Focus,2019,17000,Manual,14000,Petrol,145.0,60.1,1.0,Ford
3543,22878,Focus,2019,14450,Automatic,20850,Petrol,,,1.0,Ford
3544,5989,Focus,2017,10990,Manual,17239,Petrol,150.0,60.1,1.0,Ford
3545,8359,EcoSport,2017,8999,Manual,40091,Petrol,145.0,52.3,1.0,Ford
3546,7345,Fiesta,2017,9890,Manual,25000,Petrol,150.0,65.7,1.0,Ford
3547,2903,Focus,2017,16370,Manual,9717,Petrol,145.0,41.5,2.0,Ford
3548,18342,Focus,2019,13998,Manual,16879,Petrol,,,1.0,Ford
3549,11176,Kuga,2019,18690,Manual,12557,Petrol,145.0,35.3,1.5,Ford
3550,20527,Focus,2014,7997,Manual,42792,Petrol,,,1.0,Ford
3551,16341,Focus,2009,2991,Manual,89969,Petrol,205.0,42.2,1.6,Ford
3552,16293,Fiesta,2019,15995,Manual,13194,Petrol,145.0,40.3,1.5,Ford
3553,8594,Fiesta,2017,11494,Manual,19745,Petrol,145.0,47.9,1.6,Ford
3554,16698,Focus,2017,19495,Manual,8866,Petrol,145.0,41.5,2.0,Ford
3555,17945,Fiesta,2019,15999,Manual,2813,Petrol,145.0,58.9,1.0,Ford
3556,19472,Focus,2016,10500,Manual,15610,Petrol,,,1.0,Ford
3557,11467,Edge,2017,21999,Semi-Auto,15600,Diesel,160.0,48.7,2.0,Ford
3558,10439,Focus,2018,16990,Manual,19500,Petrol,145.0,58.9,1.0,Ford
3559,12572,Kuga,2017,12519,Manual,16263,Petrol,160.0,45.6,1.5,Ford
3560,23092,Focus,2019,16040,Manual,11535,Diesel,,,1.5,Ford
3561,697,Focus,2019,19998,Automatic,6879,Diesel,145.0,51.4,2.0,Ford
3562,11334,Kuga,2019,18299,Manual,11119,Diesel,145.0,38.2,2.0,Ford
3563,22254,Focus,2017,10789,Manual,21847,Petrol,,,1.0,Ford
3564,13683,Fiesta,2012,7891,Manual,11000,Petrol,160.0,42.8,1.2,Ford
3565,13181,Puma,2019,23000,Manual,4741,Petrol,145.0,50.4,1.0,Ford
3566,21476,Focus,2019,17900,Automatic,2065,Petrol,,,1.0,Ford
3567,18608,Focus,2017,10250,Manual,18421,Petrol,,,1.0,Ford
3568,15484,Focus,2017,12600,Manual,16043,Petrol,145.0,60.1,1.0,Ford
3569,11428,Kuga,2019,20700,Semi-Auto,2998,Diesel,145.0,47.9,2.0,Ford
3570,20806,Focus,2019,16995,Manual,12700,Petrol,,,1.0,Ford
3571,14837,Fiesta,2018,12495,Manual,18894,Petrol,145.0,62.8,1.0,Ford
3572,4998,Fiesta,2018,11500,Manual,27062,Petrol,145.0,62.8,1.0,Ford
3573,1364,Kuga,2018,17401,Semi-Auto,23995,Diesel,145.0,47.9,2.0,Ford
3574,13000,Focus,2019,21750,Automatic,3906,Petrol,145.0,39.2,1.5,Ford
3575,7045,Focus,2016,7499,Manual,90007,Diesel,0.0,74.3,1.5,Ford
3576,16169,Kuga,2019,18499,Manual,4409,Diesel,150.0,38.2,2.0,Ford
3577,11981,Fiesta,2019,12300,Manual,60,Petrol,145.0,58.9,1.0,Ford
3578,2393,S-MAX,2019,25990,Semi-Auto,9282,Diesel,145.0,51.4,2.0,Ford
3579,19128,Focus,2019,15497,Manual,12378,Petrol,,,1.0,Ford
3580,4024,Fiesta,2013,6500,Manual,38609,Petrol,0.0,65.7,1.0,Ford
3581,14639,B-MAX,2014,7376,Automatic,41976,Petrol,160.0,44.1,1.6,Ford
3582,10882,Fiesta,2016,8999,Manual,30209,Diesel,0.0,78.5,1.5,Ford
3583,12098,EcoSport,2019,14699,Manual,5229,Petrol,145.0,53.3,1.0,Ford
3584,7854,Fiesta,2018,14000,Manual,12571,Petrol,145.0,58.9,1.0,Ford
3585,4470,Focus,2017,11999,Manual,14662,Petrol,145.0,60.1,1.0,Ford
3586,17820,Kuga,2019,22500,Automatic,11855,Diesel,145.0,42.2,2.0,Ford
3587,9016,Fiesta,2015,9000,Manual,23326,Petrol,0.0,65.7,1.0,Ford
3588,1257,Focus,2015,7998,Manual,29331,Diesel,0.0,83.1,1.5,Ford
3589,16486,Mondeo,2016,11699,Automatic,79319,Diesel,125.0,57.7,2.0,Ford
3590,18567,Focus,2014,7160,Manual,40736,Diesel,,,1.6,Ford
3591,11565,Kuga,2017,18499,Semi-Auto,23041,Diesel,145.0,54.3,2.0,Ford
3592,22185,Focus,2015,10500,Automatic,6693,Petrol,,,1.6,Ford
3593,17464,Edge,2017,20000,Automatic,19039,Diesel,160.0,48.7,2.0,Ford
3594,13476,Focus,2018,13500,Manual,17250,Petrol,150.0,57.7,1.0,Ford
3595,15477,Focus,2013,7900,Manual,41398,Diesel,20.0,67.3,1.6,Ford
3596,6759,Kuga,2017,11998,Manual,31308,Diesel,30.0,64.2,1.5,Ford
3597,19946,Focus,2017,11998,Manual,18123,Diesel,,,1.5,Ford
3598,21617,Focus,2016,14980,Manual,30968,Diesel,,,2.0,Ford
3599,15425,Focus,2017,17500,Manual,22864,Petrol,145.0,41.5,2.0,Ford
3600,6005,Focus,2019,15790,Automatic,5114,Diesel,145.0,64.2,2.0,Ford
3601,10558,Fiesta,2018,10590,Manual,33770,Petrol,145.0,56.5,1.0,Ford
3602,8059,Kuga,2018,18600,Manual,12947,Diesel,145.0,60.1,2.0,Ford
3603,1620,B-MAX,2017,8750,Manual,25786,Diesel,0.0,74.3,1.5,Ford
3604,4020,EcoSport,2018,14750,Manual,16197,Petrol,145.0,54.3,1.0,Ford
3605,10571,Ka+,2017,7499,Manual,19616,Petrol,145.0,57.7,1.2,Ford
3606,6888,Fiesta,2018,11560,Manual,12670,Petrol,145.0,56.5,1.0,Ford
3607,64,S-MAX,2017,17498,Manual,17051,Diesel,150.0,56.5,2.0,Ford
3608,13739,Fiesta,2018,8429,Manual,29854,Petrol,150.0,64.2,1.1,Ford
3609,15855,Mondeo,2017,9999,Manual,60000,Diesel,0.0,78.5,1.5,Ford
3610,9158,S-MAX,2017,15800,Manual,37500,Diesel,150.0,56.5,2.0,Ford
3611,15502,Mondeo,2017,13700,Manual,30274,Diesel,30.0,64.2,2.0,Ford
3612,8799,Fiesta,2019,14000,Manual,886,Petrol,145.0,48.7,1.1,Ford
3613,10391,Focus,2016,9160,Manual,31410,Diesel,0.0,74.3,1.5,Ford
3614,1378,B-MAX,2017,8891,Manual,20226,Diesel,0.0,74.4,1.5,Ford
3615,14727,B-MAX,2016,8499,Manual,15001,Petrol,30.0,55.4,1.0,Ford
3616,8132,Kuga,2019,17900,Manual,6285,Petrol,145.0,34.4,1.5,Ford
3617,18476,Focus,2017,10500,Manual,16946,Petrol,,,1.0,Ford
3618,8836,Mondeo,2019,19500,Manual,33,Diesel,145.0,65.7,2.0,Ford
3619,3922,Focus,2017,11841,Manual,17434,Petrol,145.0,60.1,1.0,Ford
3620,10030,Fiesta,2019,14995,Manual,7166,Petrol,145.0,56.5,1.0,Ford
3621,1768,Fiesta,2017,8698,Manual,33465,Petrol,145.0,65.7,1.0,Ford
3622,2692,Edge,2018,25498,Semi-Auto,19364,Diesel,145.0,47.9,2.0,Ford
3623,15720,EcoSport,2016,8000,Manual,58000,Petrol,125.0,53.3,1.0,Ford
3624,16358,Fiesta,2018,12124,Automatic,11000,Petrol,145.0,54.3,0.0,Ford
3625,20633,Focus,2019,14995,Manual,19721,Petrol,,,1.0,Ford
3626,10411,EcoSport,2019,17990,Semi-Auto,10,Petrol,150.0,44.1,1.0,Ford
3627,22754,Focus,2019,15335,Manual,13797,Petrol,,,1.0,Ford
3628,5816,Focus,2017,10691,Manual,35978,Diesel,145.0,74.3,1.5,Ford
3629,21527,Focus,2017,12289,Semi-Auto,18134,Petrol,,,1.0,Ford
3630,1772,Focus,2017,12998,Manual,7095,Petrol,125.0,51.4,1.5,Ford
3631,17975,Focus,2018,12300,Manual,13255,Petrol,,,1.0,Ford
3632,1076,Fiesta,2014,5491,Manual,60259,Petrol,30.0,54.3,1.2,Ford
3633,4371,Focus,2019,26030,Manual,3919,Petrol,145.0,34.5,2.3,Ford
3634,11977,Ka+,2019,9800,Manual,4413,Petrol,150.0,47.9,1.2,Ford
3635,3756,Focus,2016,8999,Manual,45934,Diesel,0.0,74.3,1.5,Ford
3636,17429,Mondeo,2015,7495,Manual,82535,Diesel,0.0,74.3,2.0,Ford
3637,5834,EcoSport,2017,8700,Manual,28585,Diesel,30.0,64.2,1.5,Ford
3638,16958,Focus,2019,17650,Manual,768,Petrol,145.0,60.1,1.0,Ford
3639,5654,Focus,2019,15310,Manual,11237,Petrol,145.0,60.1,1.0,Ford
3640,130,Focus,2018,14495,Manual,17030,Petrol,145.0,57.7,1.0,Ford
3641,20520,Focus,2018,13820,Manual,14835,Petrol,,,1.0,Ford
3642,1618,Edge,2019,33500,Semi-Auto,10,Diesel,145.0,37.2,2.0,Ford
3643,7140,Fiesta,2017,12495,Manual,9823,Petrol,145.0,62.8,1.0,Ford
3644,2605,Kuga,2019,23190,Semi-Auto,5099,Diesel,145.0,38.7,2.0,Ford
3645,21191,Focus,2019,17250,Manual,8000,Petrol,,,1.0,Ford
3646,18536,Focus,2015,8498,Manual,46668,Diesel,,,1.5,Ford
3647,1440,Focus,2016,14795,Manual,26000,Diesel,20.0,67.3,2.0,Ford
3648,4897,KA,2015,4500,Manual,38622,Petrol,30.0,57.7,1.2,Ford
3649,13362,Focus,2019,15800,Manual,6681,Petrol,145.0,58.9,1.0,Ford
3650,20051,Focus,2017,10671,Manual,21833,Diesel,,,1.5,Ford
3651,13336,Ka+,2018,8000,Manual,14800,Petrol,145.0,57.7,1.2,Ford
3652,12533,Kuga,2019,26500,Semi-Auto,4153,Diesel,145.0,42.2,2.0,Ford
3653,10059,Kuga,2017,13500,Manual,23332,Diesel,150.0,64.2,1.5,Ford
3654,21304,Focus,2019,16300,Manual,4210,Petrol,,,1.0,Ford
3655,16959,Focus,2019,18000,Manual,9500,Petrol,145.0,46.3,1.5,Ford
3656,9541,Galaxy,2016,17315,Manual,21013,Petrol,160.0,43.5,1.5,Ford
3657,23115,Focus,2019,16950,Manual,11883,Petrol,,,1.0,Ford
3658,6015,Focus,2019,19000,Manual,5672,Diesel,145.0,70.6,2.0,Ford
3659,556,Grand Tourneo Connect,2018,15990,Automatic,9486,Diesel,145.0,56.6,1.5,Ford
3660,18894,Focus,2019,16770,Manual,3200,Petrol,,,1.0,Ford
3661,14474,Fiesta,2018,10497,Manual,28247,Petrol,145.0,62.8,1.0,Ford
3662,16371,Puma,2019,23999,Manual,3000,Hybrid,150.0,50.4,0.0,Ford
3663,22340,Focus,2013,5499,Manual,84000,Diesel,,,1.6,Ford
3664,437,Kuga,2019,19298,Manual,12287,Petrol,145.0,39.2,1.5,Ford
3665,19627,Focus,2018,13250,Manual,7000,Petrol,,,1.0,Ford
3666,21188,Focus,2017,10250,Semi-Auto,29719,Petrol,,,1.6,Ford
3667,8510,Fiesta,2014,5810,Manual,59858,Petrol,30.0,54.3,1.2,Ford
3668,18658,Focus,2018,13691,Manual,12603,Petrol,,,1.0,Ford
3669,6299,Fiesta,2018,11500,Manual,30308,Petrol,145.0,65.7,1.0,Ford
3670,5066,Focus,2018,17400,Manual,14398,Petrol,145.0,41.5,2.0,Ford
3671,17416,Fiesta,2015,5500,Manual,34000,Petrol,125.0,54.3,1.2,Ford
3672,7965,Focus,2017,16190,Manual,16519,Petrol,145.0,41.5,2.0,Ford
3673,12843,Focus,2019,15895,Manual,6652,Petrol,145.0,49.6,1.0,Ford
3674,12795,Focus,2018,17299,Manual,19688,Petrol,145.0,41.5,2.0,Ford
3675,9472,EcoSport,2017,8600,Manual,42727,Petrol,125.0,52.3,1.0,Ford
3676,2660,Focus,2017,9798,Manual,27485,Petrol,150.0,60.1,1.0,Ford
3677,7919,Focus,2018,11750,Manual,17045,Petrol,145.0,60.1,1.0,Ford
3678,14962,Kuga,2017,16500,Manual,27415,Diesel,125.0,60.1,2.0,Ford
3679,18381,Focus,2016,9000,Manual,19130,Petrol,,,1.0,Ford
3680,18676,Focus,2015,7998,Manual,61904,Diesel,,,1.5,Ford
3681,17087,Kuga,2015,11500,Automatic,80083,Diesel,150.0,52.3,2.0,Ford
3682,19026,Focus,2019,15320,Manual,9010,Petrol,,,1.0,Ford
3683,13844,Fiesta,2009,3699,Manual,54000,Petrol,150.0,49.6,1.2,Ford
3684,11103,Fiesta,2017,10680,Manual,19741,Petrol,145.0,65.7,1.0,Ford
3685,10711,C-MAX,2017,11990,Manual,11100,Petrol,30.0,55.4,1.0,Ford
3686,16979,Focus,2010,3795,Manual,89520,Petrol,200.0,42.2,1.6,Ford
3687,17999,Focus,2019,19000,Automatic,8201,Diesel,,,2.0,Ford
3688,10707,Fiesta,2017,10499,Manual,12295,Petrol,0.0,65.7,1.0,Ford
3689,17748,KA,2015,5995,Manual,29444,Petrol,30.0,57.7,1.2,Ford
3690,7180,Mondeo,2017,14498,Automatic,14790,Petrol,165.0,44.8,1.5,Ford
3691,2900,Focus,2019,17350,Manual,2931,Petrol,145.0,60.1,1.0,Ford
3692,14944,Puma,2020,20999,Manual,2000,Petrol,150.0,51.4,1.0,Ford
3693,10997,B-MAX,2014,6499,Manual,40213,Petrol,30.0,55.4,1.0,Ford
3694,16984,Focus,2007,2695,Manual,61000,Petrol,200.0,40.4,1.6,Ford
3695,21896,Focus,2012,4795,Manual,73626,Diesel,,,1.6,Ford
3696,18918,Focus,2018,14591,Manual,37880,Petrol,,,1.0,Ford
3697,15799,Fiesta,2017,10000,Manual,6311,Petrol,0.0,65.7,1.0,Ford
3698,18146,Focus,2019,16998,Manual,10476,Petrol,,,1.0,Ford
3699,21165,Focus,2018,21199,Manual,6101,Petrol,,,2.0,Ford
3700,15556,Fiesta,2016,9800,Automatic,6806,Petrol,150.0,47.9,1.6,Ford
3701,12264,Focus,2018,17970,Manual,19254,Petrol,150.0,41.5,2.0,Ford
3702,12292,Focus,2017,13800,Automatic,12000,Petrol,150.0,46.3,1.5,Ford
3703,18011,Focus,2019,18785,Manual,12395,Diesel,,,1.5,Ford
3704,20209,Focus,2019,15650,Manual,2068,Petrol,,,1.0,Ford
3705,20910,Focus,2017,11900,Semi-Auto,18396,Petrol,,,1.0,Ford
3706,15157,Focus,2017,10295,Manual,46713,Petrol,20.0,60.1,1.0,Ford
3707,10383,Fiesta,2020,17300,Manual,6000,Petrol,145.0,55.4,1.0,Ford
3708,11185,Fiesta,2019,15399,Manual,7720,Petrol,145.0,58.9,1.0,Ford
3709,8080,Fiesta,2018,12500,Manual,9102,Petrol,145.0,65.7,1.0,Ford
3710,22608,Focus,2017,14000,Automatic,9137,Petrol,,,1.0,Ford
3711,20937,Focus,2017,11495,Manual,13764,Petrol,,,1.0,Ford
3712,17841,Fiesta,2020,16500,Manual,1500,Petrol,145.0,58.9,1.0,Ford
3713,5348,EcoSport,2017,10290,Manual,21189,Petrol,145.0,53.3,1.0,Ford
3714,4599,Fiesta,2017,7950,Manual,33622,Petrol,125.0,54.3,1.2,Ford
3715,14608,Fiesta,2014,7132,Manual,29639,Petrol,30.0,54.3,1.2,Ford
3716,17616,Ka+,2018,8800,Manual,12336,Petrol,145.0,43.5,1.2,Ford
3717,19889,Focus,2018,19000,Semi-Auto,14976,Diesel,,,2.0,Ford
3718,10566,Fiesta,2013,5989,Manual,60143,Petrol,0.0,65.7,1.0,Ford
3719,1382,Focus,2019,17520,Manual,5000,Petrol,145.0,60.1,1.0,Ford
3720,13444,EcoSport,2018,14290,Manual,10083,Petrol,145.0,53.3,1.0,Ford
3721,14030,Kuga,2016,12490,Manual,37000,Diesel,145.0,54.3,2.0,Ford
3722,8960,Fiesta,2013,7000,Manual,35987,Petrol,30.0,54.3,1.2,Ford
3723,10356,Fiesta,2020,15491,Manual,251,Petrol,145.0,51.4,1.0,Ford
3724,15643,Fiesta,2017,9000,Manual,29117,Petrol,0.0,65.7,1.0,Ford
3725,11034,Fiesta,2014,6500,Manual,40119,Petrol,30.0,54.3,1.2,Ford
3726,20384,Focus,2016,9910,Manual,32316,Petrol,,,1.0,Ford
3727,17094,Kuga,2018,17250,Manual,16370,Diesel,145.0,64.2,1.5,Ford
3728,17518,Focus,2017,11250,Automatic,23156,Petrol,150.0,51.4,1.0,Ford
3729,6454,Focus,2014,8291,Manual,26900,Petrol,20.0,58.9,1.0,Ford
3730,6831,Focus,2017,12499,Automatic,31653,Diesel,145.0,74.3,1.5,Ford
3731,8711,B-MAX,2013,7200,Manual,36914,Petrol,30.0,57.7,1.0,Ford
3732,11584,Focus,2018,13490,Manual,17299,Diesel,145.0,74.3,1.5,Ford
3733,6773,Kuga,2017,14999,Manual,23735,Diesel,145.0,64.2,1.5,Ford
3734,20553,Focus,2018,15250,Manual,6898,Petrol,,,1.0,Ford
3735,19650,Focus,2019,19500,Automatic,5091,Diesel,,,1.5,Ford
3736,5349,Focus,2014,10302,Manual,75359,Petrol,235.0,39.2,2.0,Ford
3737,22924,Focus,2019,18580,Manual,4984,Diesel,,,1.5,Ford
3738,17287,Fiesta,2011,4490,Manual,70000,Diesel,20.0,68.9,1.4,Ford
3739,13791,Focus,2015,7295,Manual,58291,Diesel,20.0,67.3,1.6,Ford
3740,5267,EcoSport,2019,16809,Semi-Auto,3619,Petrol,145.0,48.7,1.0,Ford
3741,17454,Fiesta,2010,3200,Manual,68700,Diesel,20.0,67.3,1.4,Ford
3742,5193,Focus,2017,9991,Manual,19907,Petrol,20.0,61.4,1.0,Ford
3743,1782,Fiesta,2017,10250,Manual,20965,Petrol,145.0,65.7,1.0,Ford
3744,11920,EcoSport,2017,9200,Manual,21559,Petrol,150.0,52.3,1.0,Ford
3745,12091,Fiesta,2015,7490,Manual,24500,Diesel,0.0,76.4,1.5,Ford
3746,19490,Focus,2019,17995,Manual,90,Petrol,,,1.0,Ford
3747,14018,Focus,2016,7990,Manual,57000,Diesel,0.0,74.3,1.5,Ford
3748,10857,Kuga,2018,15699,Manual,14241,Diesel,145.0,64.2,1.5,Ford
3749,13073,Fiesta,2019,15550,Manual,7559,Petrol,145.0,55.4,1.0,Ford
3750,20927,Focus,2017,10979,Manual,35735,Petrol,,,1.5,Ford
3751,10937,EcoSport,2020,16299,Manual,915,Petrol,145.0,53.3,1.0,Ford
3752,5729,C-MAX,2018,12830,Manual,16816,Petrol,145.0,55.4,1.0,Ford
3753,3927,Focus,2017,27497,Manual,1973,Petrol,235.0,36.7,2.3,Ford
3754,11533,Fiesta,2018,11799,Manual,15119,Petrol,145.0,60.1,1.0,Ford
3755,6505,Fiesta,2017,11200,Manual,23435,Petrol,150.0,65.7,1.0,Ford
3756,6719,Focus,2018,13298,Manual,11132,Petrol,145.0,57.7,1.0,Ford
3757,17483,Focus,2015,6295,Manual,77000,Diesel,0.0,74.3,1.5,Ford
3758,14130,Fiesta,2015,4990,Manual,45000,Petrol,125.0,54.3,1.2,Ford
3759,16822,Focus,2009,4299,Automatic,39911,Petrol,265.0,37.7,1.6,Ford
