,index,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,brand
587,10599,A1,2017,14291,Manual,9010,Petrol,150,55.4,1.4,Audi
588,6826,A3,2019,21450,Manual,2800,Diesel,145,51.4,1.6,Audi
589,6757,A1,2018,12475,Manual,20560,Petrol,145,67.3,1.0,Audi
590,14,A6,2015,15400,Manual,47348,Diesel,30,61.4,2.0,Audi
591,716,A4,2019,28995,Semi-Auto,4708,Diesel,145,49.6,2.0,Audi
592,537,A4,2019,37560,Semi-Auto,5201,Diesel,145,44.1,2.0,Audi
593,1040,Q3,2020,31990,Semi-Auto,4432,Petrol,150,40.4,1.5,Audi
594,6101,A5,2014,14745,Semi-Auto,39018,Diesel,145,53.3,2.0,Audi
595,7521,Q5,2020,49790,Automatic,1500,Petrol,135,117.7,0.0,Audi
596,5842,A3,2019,32490,Semi-Auto,318,Petrol,150,33.2,2.0,Audi
597,5134,Q2,2020,24825,Manual,6000,Petrol,145,43.5,1.5,Audi
598,9081,A3,2016,11871,Manual,52519,Diesel,20,72.4,1.6,Audi
599,5763,Q3,2019,29950,Automatic,11020,Petrol,145,31.7,2.0,Audi
600,6412,Q2,2017,20445,Semi-Auto,12079,Petrol,150,54.3,1.4,Audi
601,1469,Q5,2016,19440,Semi-Auto,58767,Diesel,200,47.1,2.0,Audi
602,5584,A3,2016,23950,Semi-Auto,25344,Petrol,200,39.8,2.0,Audi
603,1159,A1,2017,12990,Manual,24435,Petrol,145,55.4,1.4,Audi
604,5312,TT,2019,31990,Automatic,5000,Petrol,145,37.2,2.0,Audi
605,1656,A6,2017,27990,Automatic,22631,Diesel,145,50.4,3.0,Audi
606,5487,A4,2020,25000,Manual,1000,Petrol,145,42.2,2.0,Audi
607,8350,A3,2015,8599,Manual,74209,Diesel,0,74.3,1.6,Audi
608,9468,A5,2019,38990,Manual,10,Petrol,145,38.7,2.0,Audi
609,3074,A4,2017,23836,Automatic,34153,Petrol,160,44.1,2.0,Audi
610,1856,A1,2019,20344,Manual,2853,Petrol,145,47.9,1.0,Audi
611,4005,A3,2019,22490,Semi-Auto,12066,Petrol,145,42.2,1.5,Audi
